â,
â,
abangan,abang
academy,
accomplishment,
accomplishments,
administration,
airline,
airport,
aking,akin
aklan,aklan
ako,ako
alan,alan
alas-,alas
albay,albay
and,
and,
ang,ang
ang,ang
ang,ang
aquino,aquino
araw,araw
araw-araw,araw
art,
at,at
at,at
at,at
aurora,aurora
ay,ay
ay,ay
ay,ay
ayon,ayon
babae,babae
bagyo,bagyo
bahagya,bahagya
baka,baka
bansa,bansa
basis,
bataan,bataan
batangas,batangas
batay,batay
bawat,bawat
being,
beses,beses
best-bestâ,
bicol,bicol
bilang,bilang
bilang,bilang
biliran,biliran
binabayo,bayo
bio-data,
blackout,
bulacan,bulacan
bundok,bundok
buong,buo
buong,buo
burias,burias
cacdac,
calamian,calamian
camarines,camarines
capiz,capiz
car,
catanduanes,catanduanes
cavite,cavite
center,
chief,
cidg,
cigarette,
city,city
city,
class,
climatologist,
closeâ,
command,
communication,
companies,
concern,
contenders,
control,
critical,
cruz,cruz
daan-daang,daan
dahil,dahil
dahil,dahil
dahilan,dahil
dakong,dako
dapat,dapat
dapat,dapat
dca,
dep,
deputy,
development,
dilg,
din,din
dindoâ,
dir,
director,
directorate,
direksiyon,direksiyon
direktang,direkta
disease,
dito,dito
doh,
doh-national,
domestic,
doris,doris
dr,
drd,
duty,
ecija,ecija
ed,ed
espina,espina
estudyante,estudyante
felipe,felipe
first,
flashfloods,
flights,
for,
for,
franche,franche
from,
garbo,garbo
gayundin,
gayunman,gayunman
gen,
global,
group,
group,
gyts,
habang,habang
hagupit,hagupit
halos,halos
hamon,hamon
hanggang,hanggan
hanggang,hanggan
hangin,hangin
hangin,hangin
have,
health,
hepe,hepe
highway,
hindi,hindi
hindi,hindi
hook,
hpg,
iba,iba
ibang,iba
ikinokonsidera,konsidera
ilalim,lalim
ilang,ilan
iligtas,ligtas
in,
industry,
ingatâ,
inilikas,likas
into,
ipinatikim,tikim
isabela,isabela
isang,isa
isinagawang,gawa
island,island
itatalaga,talaga
ka,ka
ka-textmate,
kababayan,bayan
kabataan,bata
kabataang,bata
kabikulan,bicol
kahapon,
kahit,kahit
kamag-anak,kamag-anak
kamaynilaan,maynila
kampante,kampante
kandidato,kandidato
kanilang,nila
karamihan,dami
kasama,sama
kasing,kasi
katsokaran,tsokaran
kausap,usap
kay,kay
kay,kay
kaya,kaya
kaya,kaya
kayaâ,
kilometro,kilometro
kina,kina
kinansela,kansela
kinapanayam,panayam
ko,ko
kong,ko
kumusta,kumusta
kundi,kundi
kung,kung
kung,kung
kung,kung
kuno,kuno
kuwalipikasyon,kuwalipikasyon
kuwenta,kuwenta
ladao,ladao
laguna,laguna
lahat,lahat
lakas,lakas
lalaki,lalaki
laman,laman
lamang,lamang
landslides,
lang,lang
legaspi,legaspi
leonardo,leonardo
lines,
listahan,lista
look,
lubang,luba
lugar,lugar
lumikas,likas
maagang,aga
maaring,ari
mag-iba,iba
mag-text,text
maganda,ganda
maging,maging
maging,maging
magkikita,kita
magsimulang,simula
makaiwas,iwas
makakaranas,danas
malakas,lakas
malakas,lakas
malaki,laki
malapit,lapit
manalasa,
manila,manila
mapagmasid,masid
mapipremyuhan,premyo
mar,mar
marcelo,marcelo
marikina,marikina
marinduque,marinduque
mas,mas
mas,mas
masbate,masbate
mata,mata
mataas,taas
matinding,tindi
matnog,matnog
maugong,ugong
may,may
metro,metro
mga,mga
mga,mga
mga,mga
military,
milyon,milyon
mindoro,mindoro
minimithing,mithi
minsan,minsan
miyembro,miyembro
na,na
na,na
na,na
na-stranded,
naga,naga
nagbabala,babala
nagbago,bago
nagbagsakan,bagsak
nagdulot,dulot
naging,nag
nagkabuhul-buhol,
naia,naia
naiulat,ulat
nakakasiguro,siguro
nakaraang,nakaraan
nakataas,taas
naman,naman
naman,naman
namang,naman
namatay,patay
name,
naninigarilyo,sigarilyo
napipinto,pinto
nasa,nasa
nasa,sa
nasabing,sabi
nasabing,sabi
nasaktan,sakit
nathaniel,nathaniel
naturang,
ncrpo,
ng,ng
ng,ng
ng,ng
nga,nga
ngayong,ngayon
ni,ni
ni,ni
ni,ni
nito,nito
niya,niya
no,
no-nonsense,
noong,noon
noong,noon
norte,norte
northern,
noynoy,noynoy
nueva,nueva
o,o
o,o
occidental,occidental
of,
officer,
oliveros,oliveros
opisyal,opisyal
oras,oras
organization,
oriental,oriental
p-noy,p-noy
pa,pa
pa,pa
pablo,pablo
pag-aaral,aral
pag-non,
pag-ulan,ulan
pag-uusapan,usap
pagasa,asa
pagbaha,baha
pagbugso,bugso
paghirang,hirang
paglapag,lapag
paglipad,lipad
pagpili,pili
pagsisipsip,sipsip
paligid,ligid
pamahalaan,pamahala
pamilya,pamilya
pampanga,pampanga
pang,pa
pang,pa
pangalan,ngalan
pangangasiwa,siwa
pangasinan,pangasinan
paninigarilyo,sigarilyo
papalarin,palad
para,para
pasahero,pasahero
patrol,
patuloy,tuloy
patungo,tungo
philippine,
pinondohan,pondo
pinoy,pinoy
pma,
pnp,
police,
polillo,polillo
port,port
power,
president,
prevention,
pro,
provinces,
purisima,purisima
puwesto,puewsto
quezon,quezon
quirino,quirino
rank,
region,region
reming,reming
research,
residenteng,residente
rest,
rin,din
rin,din
rizal,rizal
rojas,rojas
romblon,romblon
roxas,roxas
sa,sa
sa,sa
sa,sa
saan,saan
saan,saan
sabagay,sabagay
sabi,sabi
samantalang,samantala
samar,samar
san,san
save,
secretary,
seniority,
september,
si,si
si,si
signal,
sila,sila
sina,sina
sinabi,sabi
sinasasabing,sabi
sino,sino
siya,siya
smoke,
sorsogon,sorsogon
southern,
status,
style,
subalit,subalit
super,
supt,
survey,
susunod,sunod
susuriin,suri
syndicates,
t,
tabaco,tabaco
tabi,tabi
taglay,taglay
tanghali,tanghali
taon,taon
target,
tarlac,tarlac
tatama,tama
tawagin,tawag
text,text
