"Huwebes",DATE
"Cavite",LOCATION
"DOJ",LOCATION
"Dacer",LOCATION
"NBI",LOCATION
"Dacer at Corbito",PERSON
"Ebdane",PERSON
"Emmanuel Corbito",PERSON
"Grace Amargo at Joy Cantos",PERSON
"Jimmy Lopez at Alex Diloy,",PERSON
"Lopez at Diloy",PERSON
"NBI Director Reynaldo Wycoco",PERSON
"NBI-National Capital Region Director Samuel Ong",PERSON
"Ong",PERSON
"PAOCTF Chief Director Hermogenes Ebdane",PERSON
"PAOCTF-Visayas Chief Sr. Supt. Teofilo Vina",PERSON
"Pangulong Gloria Macapagal-Arroyo",PERSON
"Salvador "Bubby" Dacer",PERSON
