"Agosto 14, 2010",DATE
"sa mula Enero",DATE
"Central Mindanao",LOCATION
"DOH,",LOCATION
"Dengue,",LOCATION
"Eastern Visayas",LOCATION
"MANILA, Philippines",LOCATION
"Malacañang",LOCATION
"National Capital Region",LOCATION
"Northern Mindanao",LOCATION
"Southern Mindanao",LOCATION
"Western Visayas",LOCATION
"Aedes Aegypti",PERSON
"Ayon",PERSON
"CALABARZON",PERSON
"DOH",PERSON
"Dengue",PERSON
"Department of Health",PERSON
"Dr. Willie Ong,",PERSON
"Eric Tayag",PERSON
"Ito",PERSON
"Nakatakdang",PERSON
"P3,000",PERSON
"Pinakamataas",PERSON
"Sa",PERSON
"Secretary Enrique Ona at Usec",PERSON
