"MANILA, Philippines",LOCATION,,Person,Location,Date
Pilipinas,LOCATION,,Tourism Sec. Ramon Jimenez ,"MANILA, Philippines",
BIR,PERSON,,,Pilipinas,
Bureau of Internal Revenue,PERSON,,,"Estados Unidos, United Kingdom at Japan",
DFA,PERSON,,,,
DOF,PERSON,,,,
Department of Finance,PERSON,,,,
Department of Foreign Affairs,PERSON,,,,
"Estados Unidos, United Kingdom at Japan",PERSON,,,,
Hihimukin ng Department of Tourism,PERSON,,,,
Itoâ??y,PERSON,,,,
Kapag,PERSON,,,,
Pinag-aaralan,PERSON,,,,
Pinoy,PERSON,,,,
Sinabi Tourism Sec. Ramon Jimenez,PERSON,,,,
Umaasa,PERSON,,,,
