"2004",DATE
"2005",DATE
"2007",DATE
"2726",DATE
"January",DATE
"May",DATE
"Bacoor",LOCATION
"Bacoor, Cavite",LOCATION
"Bgy",LOCATION
"Hong Kong",LOCATION
"Kamara",LOCATION
"Korte",LOCATION
"Mandaluyong",LOCATION
"Maynila,",LOCATION
"Metro Manila",LOCATION
"Padre Rada St. Tondo Manila",LOCATION
"Quezon Boulevard",LOCATION
"Region 3",LOCATION
"Senado",LOCATION
"Sta",LOCATION
"State",LOCATION
"Tam Lim",LOCATION
"Towards a Strong Republic"",LOCATION
"ZTE/NBN",LOCATION
"Zambales",LOCATION
"AFP",PERSON
"Abalos Sr. Ang",PERSON
"Abalos Sr. Sa",PERSON
"Abalos Sr.",PERSON
"Abalos",PERSON
"Abangan",PERSON
"Abu Sayyaf",PERSON
"Amboy at Wowie",PERSON
"Amboy",PERSON
"Amerika",PERSON
"Anak",PERSON
"Ang Arroyo",PERSON
"Ang Bureau of Mines",PERSON
"Ang DOJ Secretary",PERSON
"Ang ID",PERSON
"Ang",PERSON
"Angara",PERSON
"Anggol Deloso",PERSON
"Anggol Sirs",PERSON
"Anggol",PERSON
"Ano",PERSON
"Anong",PERSON
"Anu?t",PERSON
"Aquino",PERSON
"Araw-araw",PERSON
"Arko",PERSON
"Armand Sanchez",PERSON
"At",PERSON
"Ayaw",PERSON
"Ayon",PERSON
"BMG",PERSON
"Ba-by Bueno",PERSON
"Baby Bueno",PERSON
"Baby Bueno, Veronica Coady, Baby Bueno Coady,",PERSON
"Baby Bue­",PERSON
"Bakit",PERSON
"Barangay Chairman Jaime Camacho",PERSON
"Binigay ng DIYOS",PERSON
"Bong Pineda,",PERSON
"Bueno",PERSON
"Bumagsak",PERSON
"Buong",PERSON
"Church",PERSON
"Coady International Trading Corp",PERSON
"Comelec",PERSON
"Come­lec",PERSON
"Cruz,",PERSON
"DILG Sec. Joey Lina,",PERSON
"DIYOS",PERSON
"Dagdag",PERSON
"Dahil",PERSON
"Deloso",PERSON
"Delo­so",PERSON
"Divisoria",PERSON
"Diyos",PERSON
"Estrada",PERSON
"Executive Order",PERSON
"GMA Cares"",PERSON
"GMA",PERSON
"Galit",PERSON
"Ganito",PERSON
"Ganoon",PERSON
"Geosciences",PERSON
"Gloria Arroyo,",PERSON
"Gov. Deloso at Boss Anggol Sirs",PERSON
"Gov. Deloso",PERSON
"Governor Deloso",PERSON
"Great Britain",PERSON
"Gusto Kong",PERSON
"Gusto",PERSON
"HABANG",PERSON
"Habang",PERSON
"Hanggang",PERSON
"Hayaan",PERSON
"He-he-he",PERSON
"Hindi",PERSON
"Hinihintay",PERSON
"Huhubaran",PERSON
"ID",PERSON
"Iba",PERSON
"Iiling-iling",PERSON
"Ilang",PERSON
"Inulit ng DIYOS",PERSON
"Ipabatid",PERSON
"Ipaliwanag",PERSON
"Isa",PERSON
"Isang",PERSON
"Isuzu Hi-Lander",PERSON
"Itatakas",PERSON
"Itong",PERSON
"Jose Pidal",PERSON
"Jun Lozada",PERSON
"Kahit",PERSON
"Kailangan",PERSON
"Kapag",PERSON
"Kasama",PERSON
"Kathang-isip",PERSON
"Kaya",PERSON
"Kayo",PERSON
"Kesa",PERSON
"Kona Bldg",PERSON
"Kumuha",PERSON
"Kung",PERSON
"Kuwento",PERSON
"Laging",PERSON
"Lito Tamayo",PERSON
"Lumalaki",PERSON
"Lumikha",PERSON
"Ma. Remedios Bueno-Coady",PERSON
"MaCity Hall at DILG",PERSON
"Maaaring",PERSON
"Madali",PERSON
"Madam Senyora Donya Gloria",PERSON
"Madame Cory",PERSON
"Magdalo",PERSON
"Magkano",PERSON
"Mahuhusgahan",PERSON
"Makapangyarihan",PERSON
"Malacañang",PERSON
"Mali­ban",PERSON
"Mandaluyong,",PERSON
"Marami",PERSON
"Masama",PERSON
"Mayor Castillo,",PERSON
"Mayor Jessie Castillo",PERSON
"Mayor",PERSON
"Mayor,",PERSON
"Mayors",PERSON
"Mga",PERSON
"Mike Defensor",PERSON
"NBI at PNP",PERSON
"Nagalit",PERSON
"Nagkaroon",PERSON
"Naitanong",PERSON
"Napakaraming",PERSON
"Napilitan",PERSON
"Nararapat",PERSON
"Nasaan",PERSON
"National Security Adviser",PERSON
"Ni",PERSON
"Noah",PERSON
"Noong",PERSON
"Okay",PERSON
"P200",PERSON
"P500",PERSON
"PANAHON",PERSON
"PMRB",PERSON
"Pagkatapos",PERSON
"Pagod",PERSON
"Paki-imbestiga",PERSON
"Paki-paliwanag",PERSON
"Panahon",PERSON
"Pangunahing",PERSON
"Para",PERSON
"Patawarin",PERSON
"Pero",PERSON
"Peter Tamondong",PERSON
"Pilipinas",PERSON
"Pilipino",PERSON
"Pinakiusapan",PERSON
"Pinoy",PERSON
"Provincial Mining Regulatoty Board",PERSON
"Ride",PERSON
"Romulo Neri",PERSON
"Sa",PERSON
"Samantala",PERSON
"Sec.",PERSON
"Sen. Edgardo Angara",PERSON
"Senate Bill",PERSON
"Senate",PERSON
"Siya",PERSON
"Station Commander",PERSON
"Station",PERSON
"Sundan",PERSON
"Supt. Bernardo Diaz",PERSON
"TAON",PERSON
"Tamondong",PERSON
"Tapos",PERSON
"Task Force Jericho",PERSON
"Tinangka",PERSON
"Tondo, Maynila",PERSON
"Totoo",PERSON
"Typical Pinoy,",PERSON
"Unang",PERSON
"Vicky",PERSON
"WKK-615",PERSON
"WPD District Director Nicolas Pacinos",PERSON
"WPD Station",PERSON
"WPD",PERSON
"Wala",PERSON
"Walang",PERSON
"Western Police District",PERSON
"Wowie",PERSON
"ZTE/NBN,",PERSON
"Zambales Gov. Amor Deloso",PERSON
"Zambales,",PERSON
"Zone",PERSON
"dating Benjamin Abalos Sr.",PERSON
"dating Pangulong Erap",PERSON
"dating President Corazon Aquino",PERSON
"dating President Fidel Ramos",PERSON
"dating President Joseph Estrada",PERSON
"opposition Sen. Rodolfo Biazon",PERSON
