"January 20",DATE
"Abu Sayyaf",PERSON
"Amerika",PERSON
"Ang Arroyo",PERSON
"Ang ID",PERSON
"Ang",PERSON
"Angara",PERSON
"Anu?t",PERSON
"Bumagsak",PERSON
"Dahil",PERSON
"Estrada",PERSON
"GMA",PERSON
"Ganito",PERSON
"Ganoon",PERSON
"Great Britain",PERSON
"Hindi",PERSON
"ID",PERSON
"Ipabatid",PERSON
"Ipaliwanag",PERSON
"Isang",PERSON
"Lumikha",PERSON
"Maaaring",PERSON
"Marami",PERSON
"Nararapat",PERSON
"Pangunahing",PERSON
"Pilipino",PERSON
"Sa",PERSON
"Sen. Edgardo Angara",PERSON
"Senate Bill",PERSON
"Senate",PERSON
"Unang",PERSON
"dating President Fidel Ramos",PERSON
"dating President Joseph Estrada",PERSON
"opposition Sen. Rodolfo Biazon",PERSON
