True Positives
araw-araw,araw
binabayo,bayo
dahilan,dahil
dakong,dako
direktang,direkta
ibang,iba
ipinatikim,tikim
isang,isa
isinagawang,gawa
kababayan,bayan
kabataan,bata
kamaynilaan,maynila
karamihan,dami
kasama,sama
kausap,usap
kinapanayam,panayam
listahan,lista
lubang,luba
lumikas,likas
maagang,aga
mag-iba,iba
magkikita,kita
magsimulang,simula
makaiwas,iwas
malakas,lakas
malaki,laki
malapit,lapit
mapagmasid,masid
mataas,taas
minimithing,mithi
nagbago,bago
nagbagsakan,bagsak
nagdulot,dulot
naiulat,ulat
nakakasiguro,siguro
nakataas,taas
pag-aaral,aral
pag-ulan,ulan
pag-uusapan,usap
pagasa,asa
pagbaha,baha
pagbugso,bugso
paglapag,lapag
paglipad,lipad
pagpili,pili
paligid,ligid
patuloy,tuloy
patungo,tungo
pinondohan,pondo
residenteng,residente
samantalang,samantala
sinabi,sabi
susunod,sunod
susuriin,suri
tatama,tama
tawagin,tawag
umabot,abot
umangat,angat
walang,wala

False Positives
babae,bae
bilang,bila
gayunman,gayunm
habang,haba
hangin,hang
hindi,hdi
kampante,mpante
kandidato,ndidato
kumusta,kusta
lalaki,laki
lamang,lama
maging,magg
manila,nila
matnog,tnog
minsan,msan
pamilya,milya
pangasinan,ngas
pasahero,sahero
pinoy,poy
tingin,tgin
tuwing,tuwg
upang,upa

True Negatives
ako,ako
alan,alan
alas-,alas
ang,ang
araw,araw
at,at
ay,ay
ayon,ayon
bagyo,bagyo
bahagya,bahagya
baka,baka
bansa,bansa
batay,batay
bawat,bawat
beses,beses
bundok,bundok
burias,burias
dahil,dahil
dapat,dapat
din,din
direksiyon,direksiyon
dito,dito
ed,ed
estudyante,estudyante
garbo,garbo
hagupit,hagupit
halos,halos
hamon,hamon
hepe,hepe
iba,iba
ka,ka
kahit,kahit
kay,kay
kaya,kaya
kilometro,kilometro
kina,kina
ko,ko
kundi,kundi
kung,kung
kuno,kuno
kuwalipikasyon,kuwalipikasyon
kuwenta,kuwenta
lahat,lahat
lakas,lakas
laman,laman
lang,lang
lugar,lugar
mar,mar
mas,mas
mata,mata
may,may
metro,metro
mga,mga
milyon,milyon
miyembro,miyembro
na,na
naia,naia
naman,naman
nasa,nasa
ng,ng
nga,nga
ni,ni
nito,nito
niya,niya
o,o
opisyal,opisyal
oras,oras
pa,pa
para,para
port,port
puwesto,puwesto
region,region
sa,sa
saan,saan
sabagay,sabagay
sabi,sabi
samar,samar
san,san
si,si
sila,sila
sina,sina
sino,sino
siya,siya
sorsogon,sorsogon
subalit,subalit
tabaco,tabaco
tabi,tabi
taglay,taglay
tanghali,tanghali
taon,taon
text,text
wala,wala

False Negatives
abangan,aba
aking,akg
buong,buong
daan-daang,daang
hanggang,hangga
ikinokonsidera,ikokonsidera
ilalim,ilalim
ilang,ila
iligtas,iligtas
inilikas,ilikas
itatalaga,itatalaga
kabataang,bataa
kabikulan,bikol
kamag-anak,maganak
kanilang,nila
kasing,kasg
katsokaran,tsokar
kinansela,nsela
kong,kong
maaring,arg
maganda,anda
makakaranas,karanas
mapipremyuhan,pipremyo
matinding,tding
maugong,ugo
nagbabala,bala
naging,nagg
nakaraang,daang
namang,nama
namatay,namatay
naninigarilyo,nanigarilyo
napipinto,napipto
nasabing,nasabg
nasaktan,nasakt
ngayong,ngayo
noong,noong
paghirang,hira
pagsisipsip,sip
pamahalaan,mahala
pang,pang
pangalan,ngal
pangangasiwa,ngasiwa
paninigarilyo,nigarilyo
papalarin,palar
rin,rin
sinasasabing,sasabi
titingnan,titgn
tularan,tular
ugaliing,ugalig
umuugong,ugo

